"name","screen_name","text","polarity","subjectivity","label"
"Ravi Santlani","santlani","RT @ScooNews: Rs. 23,500 crore provided for #SarvaShikshaAbhiyan for the year 2017-18 #RTE #Education #News #India https://t.co/3NeIue5sds","0.00","0.00","NEGATIVE"
"Virendra Kashyap","kashyapvirendr2","RT @ScooNews: Rs. 23,500 crore provided for #SarvaShikshaAbhiyan for the year 2017-18 #RTE #Education #News #India https://t.co/3NeIue5sds","0.00","0.00","NEGATIVE"
"Vinay K Singh","vinayk_s","RT @ScooNews: Rs. 23,500 crore provided for #SarvaShikshaAbhiyan for the year 2017-18 #RTE #Education #News #India https://t.co/3NeIue5sds","0.00","0.00","NEGATIVE"
"Being Example","BeingExample","RT @ScooNews: Rs. 23,500 crore provided for #SarvaShikshaAbhiyan for the year 2017-18 #RTE #Education #News #India https://t.co/3NeIue5sds","0.00","0.00","NEGATIVE"
"ScooNews","ScooNews","Rs. 23,500 crore provided for #SarvaShikshaAbhiyan for the year 2017-18 #RTE #Education #News #India https://t.co/3NeIue5sds","0.00","0.00","NEGATIVE"
"tabschool","tabschoolindia","#Teachers of #SarvaShikshaAbhiyan demand #regularization of #jobs, Enter day5 2day https://t.co/1J5lYk4OPC #SSA #Tripura #India #Government","0.00","0.00","NEGATIVE"
"Narendra Sawaikar","NSawaikar","Teachers under #SarvaShikshaAbhiyan presented a memorandum. https://t.co/Kf1iRmVafl","0.00","0.00","NEGATIVE"
