"name","screen_name","text","polarity","subjectivity","label"
"PiRuby","PiRubyAR","No education system has a good or bad, they're just different in their own ways.
https://t.co/ICKR2dwhzQ
#EducationInIndia #EducationInUSA","0.15","0.72","POSITIVE"
"Debajit Roy","Deb4India","Shocking!! Just realised Xth kids have only 6 months time to complete their syllabus... Jun to Nov... #xth boards #educationInIndia","-0.30","0.80","NEGATIVE"
"Careerindia","careerindia","Tips: Skills Students Should Learn Beyond Classroom
#tips #students #classroom #educationinindia 
https://t.co/uv5QwJjYoE","0.00","0.00","NEGATIVE"
"Naufal Khan","naufalkhan","RT @CGIDurban: Scholarship opportunity for diaspora children #educationinindia #indiainsouthafrica https://t.co/BrTHqmcwcJ","0.00","0.00","NEGATIVE"
"Niju Singh","NijuSingh17","RT @CGIDurban: Scholarship opportunity for diaspora children #educationinindia #indiainsouthafrica https://t.co/BrTHqmcwcJ","0.00","0.00","NEGATIVE"
"India in Durban","CGIDurban","Scholarship opportunity for diaspora children #educationinindia #indiainsouthafrica https://t.co/BrTHqmcwcJ","0.00","0.00","NEGATIVE"
